id,posted_time,updated_time,age,updated_age,app_type,owner_id,owner_type,owner_influence,number_of_likes,number_of_comments,reactivity,is_mentions_me,is_mentions_connections,is_commented_by_me,is_commented_by_connections,is_liked_by_me,is_liked_by_connections,poster_id,poster_gender,poster_is_employee,poster_is_lead,poster_is_in_connections,poster_focus,poster_order,poster_influence,participant1_id,participant1_action,participant1_gender,participant1_is_employee,participant1_is_lead,participant1_is_in_connections,participant1_focus,participant1_order,participant1_influence,participant2_id,participant2_action,participant2_gender,participant2_is_employee,participant2_is_lead,participant2_is_in_connections,participant2_focus,participant2_order,participant2_influence,participant3_id,participant3_action,participant3_gender,participant3_is_employee,participant3_is_lead,participant3_is_in_connections,participant3_focus,participant3_order,participant3_influence,participant4_id,participant4_action,participant4_gender,participant4_is_employee,participant4_is_lead,participant4_is_in_connections,participant4_focus,participant4_order,participant4_influence,participant5_id,participant5_action,participant5_gender,participant5_is_employee,participant5_is_lead,participant5_is_in_connections,participant5_focus,participant5_order,participant5_influence,rank
213275,1.54116E+12,1.54131E+12,36048663564,35898686174,other,57727,space,0.99973,4,3,0.51,0,0,0,1,0,1,146,male,1,0,1,marketing,6,0.99899,10,commented,male,1,0,1,marketing,5,0.99902,121,commented,male,1,0,1,marketing,4,0.99919,5,commented,male,1,0,1,marketing,3,0.99962,19,liked,male,0,0,1,marketing,2,0.99762,17,liked,female,1,0,1,marketing,1,0.99896,0.86657
213289,1.54117E+12,1.54117E+12,36040409730,36040409730,other,57727,space,0.99973,1,0,1,0,0,0,0,0,1,146,male,1,0,1,marketing,6,0.99899,17,liked,female,1,0,1,marketing,5,0.99896,22636,viewed,male,0,0,1,other,4,0.23077,3080,viewed,male,0,0,1,marketing,3,0.23077,44661,viewed,male,0,0,1,other,2,0.23077,3089,viewed,male,0,0,1,other,1,0.23077,0.73672
213290,1.54117E+12,1.54144E+12,36040291821,35770707957,other,3627,space,0.95745,7,4,0,0,1,0,1,0,1,106529,male,0,0,1,other,6,0.9945,141,commented,male,0,0,0,marketing,5,0.99787,10,commented,male,1,0,1,marketing,4,0.99902,119039,commented,female,0,0,0,other,3,0.98775,106529,commented,male,0,0,1,other,2,0.9945,107711,liked,female,0,0,0,marketing,1,0.99332,0.87128
213301,1.54117E+12,1.54117E+12,36038152905,36031622010,other,78,user,0.99937,8,5,1,0,1,0,1,0,1,78,female,1,0,1,marketing,6,0.99808,108639,commented,male,0,0,1,marketing,5,0.99436,106529,commented,male,0,0,1,other,4,0.9945,115077,commented,male,1,0,1,marketing,3,0.99809,62,commented,male,1,0,1,marketing,2,0.99586,114145,commented,male,1,0,1,marketing,1,0.99842,0.87623
213315,1.54117E+12,1.5423E+12,36034653155,34907638331,other,9037,space,0.99949,0,1,0.115903305,0,0,0,0,0,0,108025,male,1,0,0,marketing,6,0.99891,119774,commented,male,1,0,0,other,5,0.99453,22636,viewed,male,0,0,1,other,4,0.23077,3080,viewed,male,0,0,1,marketing,3,0.23077,44661,viewed,male,0,0,1,other,2,0.23077,3089,viewed,male,0,0,1,other,1,0.23077,0.72172
213325,1.54117E+12,1.54194E+12,36031916827,35266810418,other,114193,space,0.95633,1,1,0,0,0,0,1,0,1,146,male,1,0,1,marketing,6,0.99899,146,commented,male,1,0,1,marketing,5,0.99899,115077,liked,male,1,0,1,marketing,4,0.99809,22636,viewed,male,0,0,1,other,3,0.23077,3080,viewed,male,0,0,1,marketing,2,0.23077,44661,viewed,male,0,0,1,other,1,0.23077,0.79152
213340,1.54118E+12,1.54118E+12,36028739920,36028739920,other,108260,space,0.1,0,0,0,0,0,0,0,0,0,108025,male,1,0,0,marketing,6,0.99891,22636,viewed,male,0,0,1,other,5,0.23077,3080,viewed,male,0,0,1,marketing,4,0.23077,44661,viewed,male,0,0,1,other,3,0.23077,3089,viewed,male,0,0,1,other,2,0.23077,3084,viewed,male,0,0,1,marketing,1,0.23077,0.49973
213376,1.54118E+12,1.54146E+12,36021247475,35742758034,forum,111913,space,0.99977,0,3,0.310841819,0,0,0,1,0,0,19,male,0,0,1,marketing,6,0.99762,13659,commented,male,0,0,0,other,5,0.99756,19,commented,male,0,0,1,marketing,4,0.99762,5,commented,male,1,0,1,marketing,3,0.99962,22636,viewed,male,0,0,1,other,2,0.23077,3080,viewed,male,0,0,1,marketing,1,0.23077,0.82119
213423,1.54133E+12,1.54133E+12,35876218130,35876218130,other,57727,space,0.99973,7,0,0.263496727,0,0,0,0,0,1,121,male,1,0,1,marketing,6,0.99919,5,liked,male,1,0,1,marketing,5,0.99962,4,liked,male,1,0,1,marketing,4,0.99867,106529,liked,male,0,0,1,other,3,0.9945,120731,liked,male,0,0,0,engineering,2,0.99787,141,liked,male,0,0,0,marketing,1,0.99787,0.84828
213447,1.54141E+12,1.54141E+12,35800282488,35800282488,other,118683,space,0.98088,2,0,0,0,0,0,0,0,1,13,male,1,0,1,marketing,6,0.99895,5,liked,male,1,0,1,marketing,5,0.99962,122531,liked,male,1,0,1,other,4,0.99689,22636,viewed,male,0,0,1,other,3,0.23077,3080,viewed,male,0,0,1,marketing,2,0.23077,44661,viewed,male,0,0,1,other,1,0.23077,0.74336
213450,1.54141E+12,1.5415E+12,35799855911,35707125907,other,114193,space,0.95633,6,3,0,0,1,0,1,0,1,109375,male,1,0,1,marketing,6,0.99715,5,commented,male,1,0,1,marketing,5,0.99962,109375,commented,male,1,0,1,marketing,4,0.99715,146,commented,male,1,0,1,marketing,3,0.99899,114145,liked,male,1,0,1,marketing,2,0.99842,110401,liked,male,1,0,1,marketing,1,0.99788,0.86649
213451,1.54141E+12,1.54141E+12,35799844698,35799844698,other,114193,space,0.95633,2,0,0,0,0,0,0,0,1,109375,male,1,0,1,marketing,6,0.99715,114145,liked,male,1,0,1,marketing,5,0.99842,110401,liked,male,1,0,1,marketing,4,0.99788,22636,viewed,male,0,0,1,other,3,0.23077,3080,viewed,male,0,0,1,marketing,2,0.23077,44661,viewed,male,0,0,1,other,1,0.23077,0.74323
