id,posted_time,updated_time,age,updated_age,app_type,owner_id,owner_type,owner_influence,number_of_likes,number_of_comments,reactivity,is_mentions_me,is_mentions_connections,is_commented_by_me,is_commented_by_connections,is_liked_by_me,is_liked_by_connections,poster_id,poster_gender,poster_is_employee,poster_is_lead,poster_is_in_connections,poster_focus,poster_order,poster_influence,participant1_id,participant1_action,participant1_gender,participant1_is_employee,participant1_is_lead,participant1_is_in_connections,participant1_focus,participant1_order,participant1_influence,participant2_id,participant2_action,participant2_gender,participant2_is_employee,participant2_is_lead,participant2_is_in_connections,participant2_focus,participant2_order,participant2_influence,participant3_id,participant3_action,participant3_gender,participant3_is_employee,participant3_is_lead,participant3_is_in_connections,participant3_focus,participant3_order,participant3_influence,participant4_id,participant4_action,participant4_gender,participant4_is_employee,participant4_is_lead,participant4_is_in_connections,participant4_focus,participant4_order,participant4_influence,participant5_id,participant5_action,participant5_gender,participant5_is_employee,participant5_is_lead,participant5_is_in_connections,participant5_focus,participant5_order,participant5_influence
237080,1.55319E+12,1.55319E+12,24032729082,24032729082,other,78,user,0.99937,28,3,0,0,0,0,1,1,1,78,female,1,0,1,marketing,6,0.99808,6,commented,male,1,0,1,marketing,5,0.99772,62,commented,male,1,0,1,marketing,4,0.99586,78,commented,female,1,0,1,marketing,3,0.99808,38327,commented,female,1,0,0,marketing,2,0.98246,4,liked,male,1,0,1,marketing,1,0.99867
273333,1.57537E+12,1.57537E+12,1846515202,1846515202,other,3201,space,0.99992,10,1,0,0,0,0,1,0,1,66,male,1,0,1,other,6,0.99693,66,commented,male,1,0,1,other,5,0.99693,5,liked,male,1,0,1,marketing,4,0.99962,126225,liked,female,1,0,0,other,3,0.99737,62,liked,male,1,0,1,marketing,2,0.99586,115077,liked,male,1,0,1,marketing,1,0.99809
273105,1.57528E+12,1.57528E+12,1937336406,1937336406,other,115077,user,0.1,14,5,0,0,1,0,1,0,1,122535,male,1,0,0,marketing,6,0.99301,115077,commented,male,1,0,1,marketing,5,0.99809,78,commented,female,1,0,1,marketing,4,0.99808,62,commented,male,1,0,1,marketing,3,0.99586,6,commented,male,1,0,1,marketing,2,0.99772,123797,commented,female,1,0,1,other,1,0.99586
273332,1.57537E+12,1.57537E+12,1846923667,1846923667,other,39,user,0.1,7,0,0,0,0,0,0,0,1,75,male,1,0,1,marketing,6,0.99674,126225,liked,female,1,0,0,other,5,0.99737,17,liked,female,1,0,1,marketing,4,0.99896,122534,liked,male,1,0,1,marketing,3,0.99678,126270,liked,male,1,0,0,engineering,2,0.96283,128564,liked,male,1,0,0,other,1,0.97487
273315,1.57537E+12,1.57537E+12,1849867048,1849867048,other,38327,user,0.1,10,2,0,0,0,0,1,0,1,13,male,1,0,1,marketing,6,0.99895,39,commented,male,1,0,1,other,5,0.97033,109375,commented,male,1,0,1,marketing,4,0.99715,126225,liked,female,1,0,0,other,3,0.99737,115077,liked,male,1,0,1,marketing,2,0.99809,99314,liked,female,1,0,1,marketing,1,0.99589
273219,1.5753E+12,1.5753E+12,1914399646,1914399646,other,71,user,0.1,19,6,0,0,0,0,1,0,1,62,male,1,0,1,marketing,6,0.99586,11,commented,male,1,0,1,marketing,5,0.99866,71,commented,female,1,0,0,marketing,4,0.99248,38,commented,female,1,0,1,marketing,3,0.99825,17,commented,female,1,0,1,marketing,2,0.99896,78,commented,female,1,0,1,marketing,1,0.99808
273313,1.57537E+12,1.57537E+12,1849916959,1849916959,other,39,user,0.1,8,0,0,0,0,0,0,0,1,13,male,1,0,1,marketing,6,0.99895,126225,liked,female,1,0,0,other,5,0.99737,115077,liked,male,1,0,1,marketing,4,0.99809,39,liked,male,1,0,1,other,3,0.97033,99314,liked,female,1,0,1,marketing,2,0.99589,11,liked,male,1,0,1,marketing,1,0.99866
272713,1.57502E+12,1.57502E+12,2202234276,2202234276,forum,111913,space,0.99977,2,4,0,0,0,0,1,0,1,114145,male,1,0,1,marketing,6,0.99842,13659,commented,male,0,0,0,other,5,0.99756,126225,commented,female,1,0,0,other,4,0.99737,114145,commented,male,1,0,1,marketing,3,0.99842,146,commented,male,1,0,1,marketing,2,0.99899,126270,liked,male,1,0,0,engineering,1,0.96283
273304,1.57537E+12,1.57537E+12,1852223047,1852223047,other,126225,user,0.1,10,1,0,0,0,0,0,0,1,117184,male,1,0,1,other,6,0.99684,126225,commented,female,1,0,0,other,5,0.99737,120732,liked,female,1,0,1,engineering,4,0.99613,124733,liked,female,1,0,1,other,3,0.99489,128564,liked,male,1,0,0,other,2,0.97487,71,liked,female,1,0,0,marketing,1,0.99248
273279,1.57536E+12,1.57536E+12,1856537804,1853784324,other,57727,space,0.99973,5,4,0,0,0,0,1,0,1,5,male,1,0,1,marketing,6,0.99962,5,commented,male,1,0,1,marketing,5,0.99962,13,commented,male,1,0,1,marketing,4,0.99895,146,commented,male,1,0,1,marketing,3,0.99899,7,commented,male,1,0,1,marketing,2,0.99886,121,liked,male,1,0,1,marketing,1,0.99919
270894,1.57411E+12,1.57411E+12,3106410989,3106410989,forum,111913,space,0.99977,0,4,0,0,0,0,1,0,0,121,male,1,0,1,marketing,6,0.99919,13659,commented,male,0,0,0,other,5,0.99756,13,commented,male,1,0,1,marketing,4,0.99895,126225,commented,female,1,0,0,other,3,0.99737,121,commented,male,1,0,1,marketing,2,0.99919,22636,viewed,male,0,0,1,other,1,0.23077
254671,1.56269E+12,1.56269E+12,14530771081,14530771081,forum,111913,space,0.99977,2,8,0,0,0,1,1,0,1,121,male,1,0,1,marketing,6,0.99919,13659,commented,male,0,0,0,other,5,0.99756,121,commented,male,1,0,1,marketing,4,0.99919,122531,commented,male,1,0,1,other,3,0.99689,146,commented,male,1,0,1,marketing,2,0.99899,122925,commented,male,1,0,1,marketing,1,0.98273
273285,1.57536E+12,1.57536E+12,1854866011,1854866011,forum,111913,space,0.99977,0,1,0,0,0,0,0,0,0,1,male,1,0,1,sales,6,0.99645,13659,commented,male,0,0,0,other,5,0.99756,22636,viewed,male,0,0,1,other,4,0.23077,3080,viewed,male,0,0,1,marketing,3,0.23077,44661,viewed,male,0,0,1,other,2,0.23077,3089,viewed,male,0,0,1,other,1,0.23077
